true_label,n_test_observations,mean_abs_probability_change,mean_probability_sd,mean_interval_width,mean_classification_switching_rate
A.23.1,260,0.0329291,0.032969736,0.11825128,0.04619230769230769
AY.4,5877,0.022671105,0.023011541,0.08749601,0.017981963586864047
AY.4.2,326,0.041123006,0.037504043,0.13315976,0.030230061349693253
B.1.1.318,6,0.083799995,0.09411448,0.33075,0.05416666666666667
B.1.1.7,4985,0.008205797,0.008245181,0.030661212,0.007471414242728184
B.1.351,1306,0.03167287,0.033112347,0.12169244,0.029620980091883617
B.1.427,421,0.042294018,0.040349755,0.14697742,0.051104513064133016
B.1.429,931,0.029928429,0.02966718,0.108623244,0.039189044038668096
B.1.525,1005,0.027034841,0.027517488,0.101375945,0.01635820895522388
B.1.526,977,0.026588723,0.025450965,0.09355903,0.04857215967246673
B.1.617.1,1002,0.031506937,0.030776305,0.113654435,0.02847305389221557
B.1.617.2,5238,0.02602073,0.026424425,0.100482374,0.023737113402061857
B.1.617.3,53,0.069947794,0.07538419,0.24011949,0.10047169811320755
B.1.621,1071,0.030347975,0.030717809,0.113256454,0.03324463118580765
BA.1,954,0.0119826,0.012248137,0.045751657,0.0011477987421383647
C.37,794,0.025167633,0.022843098,0.085616805,0.021719143576826198
P.1,1049,0.021956926,0.021446781,0.07982872,0.024204003813155385
P.2,834,0.02547434,0.025765812,0.090345316,0.0453537170263789
P.3,62,0.05701882,0.05787873,0.21069086,0.06556451612903226
