true_label,n_test_observations,mean_abs_probability_change,mean_probability_sd,mean_interval_width,mean_classification_switching_rate
A.23.1,260,0.03169955,0.031185767,0.11301827,0.018423076923076924
AY.4,5877,0.020180762,0.020068582,0.07618399,0.012454483580057855
AY.4.2,326,0.03256677,0.02994712,0.10519299,0.01838957055214724
B.1.1.318,6,0.07855833,0.08471229,0.2974722,0.013333333333333334
B.1.1.7,4985,0.008327866,0.008325402,0.03104075,0.005087261785356068
B.1.351,1306,0.028872792,0.02914927,0.107051425,0.015532159264931088
B.1.427,421,0.04155178,0.036977526,0.13179177,0.04396674584323041
B.1.429,931,0.028373398,0.02756201,0.10106766,0.032250268528464014
B.1.525,1005,0.024707993,0.024170587,0.08885298,0.011208955223880598
B.1.526,977,0.02699147,0.026340146,0.09627328,0.041054247697031726
B.1.617.1,1002,0.029451478,0.027186904,0.100511804,0.026187624750499
B.1.617.2,5238,0.024694774,0.024346199,0.09272091,0.015939289805269187
B.1.617.3,53,0.07337704,0.066098586,0.2179371,0.09226415094339623
B.1.621,1071,0.029302008,0.028806131,0.10531995,0.02603641456582633
BA.1,954,0.011450996,0.01145337,0.042589355,0.0020440251572327044
C.37,794,0.026617719,0.023892414,0.08883731,0.015270780856423173
P.1,1049,0.021120988,0.019633807,0.07292461,0.010395614871306006
P.2,834,0.02444976,0.024487708,0.08689208,0.021900479616306954
P.3,62,0.055841397,0.055011217,0.19117875,0.08838709677419355
