true_label,n_test_observations,mean_abs_probability_change,mean_probability_sd,mean_interval_width,mean_classification_switching_rate
A.23.1,260,0.051008783,0.057096172,0.20481089,0.10332692307692308
AY.4,5877,0.04586924,0.048504416,0.18384811,0.0522605070614259
AY.4.2,326,0.08496851,0.091255136,0.3104215,0.15038343558282208
B.1.1.318,6,0.16696668,0.14844252,0.48080555,0.28833333333333333
B.1.1.7,4985,0.020897754,0.022269884,0.084298536,0.02996690070210632
B.1.351,1306,0.051130075,0.056358628,0.20562638,0.09251531393568148
B.1.427,421,0.066597305,0.069254205,0.25342676,0.12152019002375297
B.1.429,931,0.05905709,0.063348845,0.2326289,0.10886143931256713
B.1.525,1005,0.049861062,0.05367472,0.19529958,0.08499004975124379
B.1.526,977,0.054636266,0.05762434,0.21064968,0.09142272262026611
B.1.617.1,1002,0.05344629,0.055465832,0.20510636,0.09711077844311376
B.1.617.2,5238,0.044999056,0.048463244,0.18379958,0.07678885070637649
B.1.617.3,53,0.09239245,0.08497647,0.3091698,0.27283018867924524
B.1.621,1071,0.053620167,0.058412578,0.21462643,0.10021475256769374
BA.1,954,0.029138226,0.031546682,0.116378486,0.03340146750524109
C.37,794,0.046107303,0.04816651,0.17827572,0.07257556675062972
P.1,1049,0.042218573,0.044762112,0.16656578,0.05740228789323165
P.2,834,0.048220225,0.050664466,0.18308282,0.0705695443645084
P.3,62,0.082185484,0.087628275,0.31210217,0.27733870967741936
