true_label,n_test_observations,mean_abs_probability_change,mean_probability_sd,mean_interval_width,mean_classification_switching_rate,feature_representation,model
A.23.1,260,0.0329291,0.032969736,0.11825128,0.04619230769230769,KMC,Random Forest
AY.4,5877,0.022671105,0.023011541,0.08749601,0.017981963586864047,KMC,Random Forest
AY.4.2,326,0.041123006,0.037504043,0.13315976,0.030230061349693253,KMC,Random Forest
B.1.1.318,6,0.083799995,0.09411448,0.33075,0.05416666666666667,KMC,Random Forest
B.1.1.7,4985,0.008205797,0.008245181,0.030661212,0.007471414242728184,KMC,Random Forest
B.1.351,1306,0.03167287,0.033112347,0.12169244,0.029620980091883617,KMC,Random Forest
B.1.427,421,0.042294018,0.040349755,0.14697742,0.051104513064133016,KMC,Random Forest
B.1.429,931,0.029928429,0.02966718,0.108623244,0.039189044038668096,KMC,Random Forest
B.1.525,1005,0.027034841,0.027517488,0.101375945,0.01635820895522388,KMC,Random Forest
B.1.526,977,0.026588723,0.025450965,0.09355903,0.04857215967246673,KMC,Random Forest
B.1.617.1,1002,0.031506937,0.030776305,0.113654435,0.02847305389221557,KMC,Random Forest
B.1.617.2,5238,0.02602073,0.026424425,0.100482374,0.023737113402061857,KMC,Random Forest
B.1.617.3,53,0.069947794,0.07538419,0.24011949,0.10047169811320755,KMC,Random Forest
B.1.621,1071,0.030347975,0.030717809,0.113256454,0.03324463118580765,KMC,Random Forest
BA.1,954,0.0119826,0.012248137,0.045751657,0.0011477987421383647,KMC,Random Forest
C.37,794,0.025167633,0.022843098,0.085616805,0.021719143576826198,KMC,Random Forest
P.1,1049,0.021956926,0.021446781,0.07982872,0.024204003813155385,KMC,Random Forest
P.2,834,0.02547434,0.025765812,0.090345316,0.0453537170263789,KMC,Random Forest
P.3,62,0.05701882,0.05787873,0.21069086,0.06556451612903226,KMC,Random Forest
A.23.1,260,0.03169955,0.031185767,0.11301827,0.018423076923076924,KMNV,Random Forest
AY.4,5877,0.020180762,0.020068582,0.07618399,0.012454483580057855,KMNV,Random Forest
AY.4.2,326,0.03256677,0.02994712,0.10519299,0.01838957055214724,KMNV,Random Forest
B.1.1.318,6,0.07855833,0.08471229,0.2974722,0.013333333333333334,KMNV,Random Forest
B.1.1.7,4985,0.008327866,0.008325402,0.03104075,0.005087261785356068,KMNV,Random Forest
B.1.351,1306,0.028872792,0.02914927,0.107051425,0.015532159264931088,KMNV,Random Forest
B.1.427,421,0.04155178,0.036977526,0.13179177,0.04396674584323041,KMNV,Random Forest
B.1.429,931,0.028373398,0.02756201,0.10106766,0.032250268528464014,KMNV,Random Forest
B.1.525,1005,0.024707993,0.024170587,0.08885298,0.011208955223880598,KMNV,Random Forest
B.1.526,977,0.02699147,0.026340146,0.09627328,0.041054247697031726,KMNV,Random Forest
B.1.617.1,1002,0.029451478,0.027186904,0.100511804,0.026187624750499,KMNV,Random Forest
B.1.617.2,5238,0.024694774,0.024346199,0.09272091,0.015939289805269187,KMNV,Random Forest
B.1.617.3,53,0.07337704,0.066098586,0.2179371,0.09226415094339623,KMNV,Random Forest
B.1.621,1071,0.029302008,0.028806131,0.10531995,0.02603641456582633,KMNV,Random Forest
BA.1,954,0.011450996,0.01145337,0.042589355,0.0020440251572327044,KMNV,Random Forest
C.37,794,0.026617719,0.023892414,0.08883731,0.015270780856423173,KMNV,Random Forest
P.1,1049,0.021120988,0.019633807,0.07292461,0.010395614871306006,KMNV,Random Forest
P.2,834,0.02444976,0.024487708,0.08689208,0.021900479616306954,KMNV,Random Forest
P.3,62,0.055841397,0.055011217,0.19117875,0.08838709677419355,KMNV,Random Forest
A.23.1,260,0.051008783,0.057096172,0.20481089,0.10332692307692308,NV,Random Forest
AY.4,5877,0.04586924,0.048504416,0.18384811,0.0522605070614259,NV,Random Forest
AY.4.2,326,0.08496851,0.091255136,0.3104215,0.15038343558282208,NV,Random Forest
B.1.1.318,6,0.16696668,0.14844252,0.48080555,0.28833333333333333,NV,Random Forest
B.1.1.7,4985,0.020897754,0.022269884,0.084298536,0.02996690070210632,NV,Random Forest
B.1.351,1306,0.051130075,0.056358628,0.20562638,0.09251531393568148,NV,Random Forest
B.1.427,421,0.066597305,0.069254205,0.25342676,0.12152019002375297,NV,Random Forest
B.1.429,931,0.05905709,0.063348845,0.2326289,0.10886143931256713,NV,Random Forest
B.1.525,1005,0.049861062,0.05367472,0.19529958,0.08499004975124379,NV,Random Forest
B.1.526,977,0.054636266,0.05762434,0.21064968,0.09142272262026611,NV,Random Forest
B.1.617.1,1002,0.05344629,0.055465832,0.20510636,0.09711077844311376,NV,Random Forest
B.1.617.2,5238,0.044999056,0.048463244,0.18379958,0.07678885070637649,NV,Random Forest
B.1.617.3,53,0.09239245,0.08497647,0.3091698,0.27283018867924524,NV,Random Forest
B.1.621,1071,0.053620167,0.058412578,0.21462643,0.10021475256769374,NV,Random Forest
BA.1,954,0.029138226,0.031546682,0.116378486,0.03340146750524109,NV,Random Forest
C.37,794,0.046107303,0.04816651,0.17827572,0.07257556675062972,NV,Random Forest
P.1,1049,0.042218573,0.044762112,0.16656578,0.05740228789323165,NV,Random Forest
P.2,834,0.048220225,0.050664466,0.18308282,0.0705695443645084,NV,Random Forest
P.3,62,0.082185484,0.087628275,0.31210217,0.27733870967741936,NV,Random Forest
