,bootstrap_A.23.1,bootstrap_AY.4,bootstrap_AY.4.2,bootstrap_B.1.1.318,bootstrap_B.1.1.7,bootstrap_B.1.351,bootstrap_B.1.427,bootstrap_B.1.429,bootstrap_B.1.525,bootstrap_B.1.526,bootstrap_B.1.617.1,bootstrap_B.1.617.2,bootstrap_B.1.617.3,bootstrap_B.1.621,bootstrap_BA.1,bootstrap_C.37,bootstrap_P.1,bootstrap_P.2,bootstrap_P.3
reference_A.23.1,236.365,0.075,0.0,0.0,0.355,1.875,0.23,0.085,0.375,0.545,4.825,0.795,0.0,0.985,0.025,0.14,0.185,1.14,0.0
reference_AY.4,0.035,5778.41,1.23,0.0,0.0,1.415,0.0,0.225,0.005,0.115,2.465,84.945,0.0,0.105,0.0,0.005,0.025,0.01,0.01
reference_AY.4.2,0.0,11.785,304.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reference_B.1.1.318,0.0,0.0,0.0,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0
reference_B.1.1.7,0.0,0.015,0.0,0.0,4909.81,1.97,0.135,0.075,0.03,2.205,0.66,0.07,0.0,1.195,0.005,1.415,0.405,2.01,0.0
reference_B.1.351,0.9,0.65,0.0,0.0,2.665,1380.21,0.69,2.875,6.875,8.07,9.335,1.13,0.0,23.595,1.5,2.47,5.985,8.325,0.725
reference_B.1.427,0.0,0.0,0.0,0.0,0.0,1.94,363.275,6.2,0.125,0.62,2.53,0.395,0.0,1.24,0.185,0.345,0.02,0.125,0.0
reference_B.1.429,0.015,0.0,0.0,0.0,0.06,6.13,2.725,884.655,1.83,2.34,6.145,0.005,0.015,3.0,0.31,0.45,1.015,0.305,0.0
reference_B.1.525,0.335,0.005,0.0,0.0,0.0,14.11,0.205,1.875,1007.545,4.415,2.58,1.57,0.02,2.27,0.56,0.36,1.075,0.975,0.1
reference_B.1.526,0.0,0.015,0.0,0.0,0.835,10.515,1.175,1.56,3.06,886.565,0.92,0.745,0.0,4.025,0.005,1.86,2.495,2.015,0.21
reference_B.1.617.1,1.515,5.52,0.0,0.0,0.0,16.625,1.475,6.165,2.075,2.505,1047.605,11.49,0.165,12.595,0.45,2.77,5.8,0.435,0.81
reference_B.1.617.2,0.725,83.68,0.275,0.0,0.005,3.07,0.15,0.225,0.105,0.13,5.745,5051.7,0.0,0.48,0.0,0.035,0.625,0.04,0.01
reference_B.1.617.3,0.0,0.0,0.0,0.0,0.0,0.12,0.205,0.06,0.0,0.0,2.715,0.115,40.545,0.15,0.01,0.0,0.07,0.01,0.0
reference_B.1.621,0.79,0.175,0.0,0.0,0.05,23.12,1.27,2.245,2.795,2.795,10.445,0.41,0.0,1061.065,0.85,2.05,1.725,0.79,0.425
reference_BA.1,0.01,0.0,0.0,0.0,0.045,0.6,0.005,0.125,0.0,0.05,0.025,0.09,0.0,0.485,960.54,0.92,1.1,0.005,0.0
reference_C.37,0.305,0.175,0.0,0.0,1.895,3.06,0.185,0.195,0.865,1.82,3.09,1.135,0.0,4.165,0.665,776.425,3.775,1.12,0.125
reference_P.1,0.13,0.3,0.0,0.0,1.065,8.185,0.13,0.295,1.425,2.62,5.35,0.595,0.0,2.865,1.39,1.48,1028.44,1.71,0.02
reference_P.2,0.035,0.0,0.0,0.0,2.495,12.545,0.1,0.17,0.945,3.805,0.86,0.02,0.0,3.13,0.275,0.99,4.28,770.3,0.05
reference_P.3,0.0,0.25,0.0,0.0,0.0,0.815,0.0,0.0,0.07,0.585,0.29,0.215,0.0,0.32,0.0,0.035,0.1,0.2,53.12
