,bootstrap_A.23.1,bootstrap_AY.4,bootstrap_AY.4.2,bootstrap_B.1.1.318,bootstrap_B.1.1.7,bootstrap_B.1.351,bootstrap_B.1.427,bootstrap_B.1.429,bootstrap_B.1.525,bootstrap_B.1.526,bootstrap_B.1.617.1,bootstrap_B.1.617.2,bootstrap_B.1.617.3,bootstrap_B.1.621,bootstrap_BA.1,bootstrap_C.37,bootstrap_P.1,bootstrap_P.2,bootstrap_P.3
reference_A.23.1,256.41,1.23,0.0,0.0,0.16,1.61,0.0,0.095,0.82,0.05,1.02,1.5,0.0,0.72,0.07,0.035,0.11,0.17,0.0
reference_AY.4,0.0,5740.57,1.56,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.93,55.675,0.0,0.185,0.0,0.0,0.07,0.0,0.0
reference_AY.4.2,0.0,4.86,306.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reference_B.1.1.318,0.0,0.0,0.0,4.945,0.0,0.0,0.005,0.0,0.0,0.0,0.045,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0
reference_B.1.1.7,0.03,0.035,0.0,0.0,4936.53,0.52,0.0,0.0,0.92,0.0,0.26,0.015,0.0,0.245,0.3,0.93,1.82,0.395,0.0
reference_B.1.351,0.29,0.335,0.0,0.0,0.615,1340.505,0.43,2.77,3.82,6.19,8.62,0.755,0.01,9.89,0.05,0.595,3.005,1.725,0.395
reference_B.1.427,0.0,0.0,0.0,0.0,0.0,3.01,383.285,5.08,0.42,0.9,2.515,0.0,0.0,1.325,0.265,0.075,0.0,0.125,0.0
reference_B.1.429,0.005,0.0,0.0,0.0,0.0,1.315,3.925,893.4,4.205,3.08,2.185,0.0,0.0,2.125,0.015,0.59,0.14,0.015,0.0
reference_B.1.525,0.095,0.09,0.0,0.0,0.225,6.145,0.09,3.3,1016.84,1.445,3.08,0.125,0.0,3.62,0.195,0.215,1.22,0.315,0.0
reference_B.1.526,0.0,0.0,0.0,0.0,0.35,12.47,1.32,2.87,2.13,893.49,1.2,0.2,0.0,7.75,0.365,0.575,1.21,0.07,0.0
reference_B.1.617.1,1.07,3.145,0.0,0.0,0.645,16.77,1.3,2.555,2.685,2.685,1035.02,10.63,0.34,8.16,0.025,1.04,6.245,2.13,0.555
reference_B.1.617.2,0.0,57.42,0.07,0.0,0.01,2.34,0.09,0.005,0.23,0.205,3.13,5182.515,0.0,0.155,0.545,0.06,0.085,0.14,0.0
reference_B.1.617.3,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.925,0.16,38.855,0.0,0.0,0.0,0.0,0.0,0.0
reference_B.1.621,0.025,2.06,0.0,0.0,1.405,15.17,0.81,3.755,6.13,3.76,7.805,1.825,0.0,1061.77,0.575,0.445,3.185,2.235,0.045
reference_BA.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.02,0.125,0.0,0.015,0.0,0.035,960.15,0.36,0.29,0.0,0.0
reference_C.37,0.0,0.0,0.0,0.0,1.945,1.615,0.0,0.18,0.975,0.755,2.875,0.0,0.0,0.74,0.085,773.745,1.535,0.55,0.0
reference_P.1,0.145,0.0,0.0,0.0,1.74,3.17,0.005,0.32,0.8,1.145,2.495,0.06,0.0,1.45,1.3,0.92,1041.955,2.495,0.0
reference_P.2,0.065,0.0,0.0,0.0,1.405,1.245,0.095,0.13,0.055,0.71,0.985,0.015,0.0,5.19,0.03,1.45,3.495,812.125,0.005
reference_P.3,0.0,0.0,0.0,0.0,0.395,1.015,0.0,0.0,0.0,0.19,0.685,0.0,0.0,0.56,0.005,0.35,0.24,0.005,51.555
