,bootstrap_A.23.1,bootstrap_AY.4,bootstrap_AY.4.2,bootstrap_B.1.1.318,bootstrap_B.1.1.7,bootstrap_B.1.351,bootstrap_B.1.427,bootstrap_B.1.429,bootstrap_B.1.525,bootstrap_B.1.526,bootstrap_B.1.617.1,bootstrap_B.1.617.2,bootstrap_B.1.617.3,bootstrap_B.1.621,bootstrap_BA.1,bootstrap_C.37,bootstrap_P.1,bootstrap_P.2,bootstrap_P.3
reference_A.23.1,215.515,0.21,0.0,0.0,0.305,1.005,0.47,1.545,2.35,0.89,3.07,2.505,0.0,3.09,1.56,0.15,8.38,1.635,0.32
reference_AY.4,0.52,5931.745,23.895,0.015,3.81,1.81,0.07,0.26,0.43,1.325,1.605,206.675,0.035,3.25,0.625,0.435,0.765,0.73,0.0
reference_AY.4.2,0.0,100.17,217.36,0.0,0.11,0.135,0.0,0.045,0.05,0.03,0.77,12.1,0.155,0.01,0.015,0.0,0.04,0.005,0.005
reference_B.1.1.318,0.0,0.15,0.0,3.775,0.235,0.05,0.0,0.0,0.04,0.34,0.0,0.22,0.0,0.0,0.02,0.17,0.0,0.0,0.0
reference_B.1.1.7,0.56,3.8,0.265,0.005,4698.74,5.19,0.325,2.315,4.715,4.815,6.91,20.485,0.01,1.73,1.715,4.475,1.845,2.69,0.41
reference_B.1.351,0.72,4.33,0.005,0.06,8.775,1295.865,4.585,8.9,21.825,26.61,26.55,13.925,0.245,20.845,4.475,7.19,5.09,3.395,1.61
reference_B.1.427,1.095,0.1,0.005,0.045,0.635,8.94,358.345,26.955,1.16,6.66,4.445,1.52,0.01,9.9,0.595,1.175,0.865,3.215,0.335
reference_B.1.429,0.665,2.655,0.0,0.0,4.86,10.905,18.96,846.545,3.84,10.935,24.4,12.53,0.1,16.66,2.435,2.215,1.73,7.91,1.655
reference_B.1.525,0.62,0.805,0.0,0.0,11.47,26.89,2.47,3.81,974.755,11.795,10.115,10.57,0.305,5.53,8.065,6.29,6.175,1.825,0.51
reference_B.1.526,0.93,2.045,0.125,0.0,10.7,23.61,3.925,10.11,9.685,869.5,6.485,7.53,0.35,10.935,2.03,6.38,2.805,1.795,0.06
reference_B.1.617.1,2.29,2.67,0.0,0.005,14.835,32.13,3.91,21.565,10.295,5.325,1078.735,19.185,1.835,16.39,1.145,5.43,7.65,11.1,2.505
reference_B.1.617.2,0.12,225.61,3.305,0.115,16.785,7.48,1.025,3.525,1.665,3.325,9.16,4322.99,0.1,2.96,1.925,1.06,2.3,3.075,0.475
reference_B.1.617.3,0.0,0.02,0.345,0.0,0.5,0.285,0.29,0.11,0.525,0.0,3.885,2.99,14.36,0.01,1.05,0.625,0.0,0.005,0.0
reference_B.1.621,0.9,3.925,0.1,0.035,1.585,14.37,2.91,10.655,5.14,12.285,16.75,5.46,0.0,958.39,1.215,4.49,7.74,4.57,0.48
reference_BA.1,1.145,1.255,0.0,0.02,3.225,7.8,1.04,2.63,5.82,2.985,3.355,10.51,0.32,1.085,964.97,4.685,2.0,0.895,1.26
reference_C.37,0.205,1.26,0.01,0.155,12.015,8.52,0.81,2.165,7.25,9.525,9.325,6.685,0.0,4.93,2.53,737.17,2.69,1.665,0.09
reference_P.1,4.285,2.735,0.0,0.0,2.88,2.955,0.97,2.55,9.315,3.545,14.19,6.94,0.015,5.89,1.94,3.05,1040.12,6.315,0.305
reference_P.2,1.365,0.96,0.0,0.0,12.48,3.54,1.76,6.115,1.8,4.585,9.445,6.98,0.0,8.7,1.53,3.22,6.33,757.61,0.58
reference_P.3,0.36,0.01,0.0,0.0,4.61,1.88,0.34,2.23,1.105,0.205,5.21,1.48,0.155,0.08,1.355,0.065,0.2,0.485,35.23
