class_label,n_observations,proportion
AY.4,29386,0.21646826566091107
B.1.617.2,26191,0.19293270080735458
B.1.1.7,24923,0.18359213860569273
B.1.351,6527,0.04808032294183511
B.1.621,5352,0.03942483351994814
P.1,5247,0.038651364252460366
B.1.525,5024,0.03700866285579586
B.1.617.1,5012,0.036920266368082974
B.1.526,4885,0.03598473687312157
BA.1,4768,0.035122871117920916
B.1.429,4653,0.0342757381106724
P.2,4171,0.030725145854204727
C.37,3968,0.0292297719370617
B.1.427,2107,0.015520949967587955
AY.4.2,1632,0.012021922328952796
A.23.1,1300,0.009576286168896223
P.3,308,0.002268843184630797
B.1.617.3,266,0.0019594554776356885
B.1.1.318,32,0.00023572396723436855
