class_label,precision,recall,f1_score,support,feature_representation,model,n_test_observations,mean_abs_probability_change,mean_probability_sd,mean_interval_width,mean_classification_switching_rate
A.23.1,0.9556451612903226,0.9115384615384615,0.9330708661417323,260,KMC,Random Forest,260,0.0329291,0.032969736,0.11825128,0.04619230769230769
AY.4,0.9505878343840518,0.9492938574102433,0.9499404052443385,5877,KMC,Random Forest,5877,0.022671105,0.023011541,0.08749601,0.017981963586864047
AY.4.2,0.9685534591194969,0.9447852760736196,0.9565217391304348,326,KMC,Random Forest,326,0.041123006,0.037504043,0.13315976,0.030230061349693253
B.1.1.318,1.0,0.8333333333333334,0.9090909090909091,6,KMC,Random Forest,6,0.083799995,0.09411448,0.33075,0.05416666666666667
B.1.1.7,0.9997967479674796,0.9867602808425275,0.9932357395254922,4985,KMC,Random Forest,4985,0.008205797,0.008245181,0.030661212,0.007471414242728184
B.1.351,0.8605769230769231,0.9594180704441041,0.9073135409123824,1306,KMC,Random Forest,1306,0.03167287,0.033112347,0.12169244,0.029620980091883617
B.1.427,0.9708222811671088,0.8693586698337292,0.9172932330827067,421,KMC,Random Forest,421,0.042294018,0.040349755,0.14697742,0.051104513064133016
B.1.429,0.9581958195819582,0.9355531686358755,0.9467391304347826,931,KMC,Random Forest,931,0.029928429,0.02966718,0.108623244,0.039189044038668096
B.1.525,0.9518304431599229,0.9830845771144279,0.9672050905531082,1005,KMC,Random Forest,1005,0.027034841,0.027517488,0.101375945,0.01635820895522388
B.1.526,0.9683406113537117,0.9078812691914022,0.9371368198626518,977,KMC,Random Forest,977,0.026588723,0.025450965,0.09355903,0.04857215967246673
B.1.617.1,0.8497316636851521,0.9481037924151696,0.8962264150943396,1002,KMC,Random Forest,1002,0.031506937,0.030776305,0.113654435,0.02847305389221557
B.1.617.2,0.9481251214299592,0.9316533027873234,0.9398170438131921,5238,KMC,Random Forest,5238,0.02602073,0.026424425,0.100482374,0.023737113402061857
B.1.617.3,1.0,0.8301886792452831,0.9072164948453608,53,KMC,Random Forest,53,0.069947794,0.07538419,0.24011949,0.10047169811320755
B.1.621,0.9054905490549054,0.9393090569561158,0.922089825847846,1071,KMC,Random Forest,1071,0.030347975,0.030717809,0.113256454,0.03324463118580765
BA.1,0.9865145228215768,0.9968553459119497,0.9916579770594369,954,KMC,Random Forest,954,0.0119826,0.012248137,0.045751657,0.0011477987421383647
C.37,0.9561952440550688,0.9622166246851386,0.9591964846202135,794,KMC,Random Forest,794,0.025167633,0.022843098,0.085616805,0.021719143576826198
P.1,0.9649621212121212,0.9714013346043852,0.9681710213776722,1049,KMC,Random Forest,1049,0.021956926,0.021446781,0.07982872,0.024204003813155385
P.2,0.9675,0.9280575539568345,0.9473684210526315,834,KMC,Random Forest,834,0.02547434,0.025765812,0.090345316,0.0453537170263789
P.3,0.9285714285714286,0.8387096774193549,0.8813559322033898,62,KMC,Random Forest,62,0.05701882,0.05787873,0.21069086,0.06556451612903226
A.23.1,0.9621212121212122,0.9769230769230769,0.9694656488549618,260,KMNV,Random Forest,260,0.03169955,0.031185767,0.11301827,0.018423076923076924
AY.4,0.9715468184169684,0.9586523736600306,0.9650565262076053,5877,KMNV,Random Forest,5877,0.020180762,0.020068582,0.07618399,0.012454483580057855
AY.4.2,0.9871794871794872,0.9447852760736196,0.9655172413793104,326,KMNV,Random Forest,326,0.03256677,0.02994712,0.10519299,0.01838957055214724
B.1.1.318,1.0,0.8333333333333334,0.9090909090909091,6,KMNV,Random Forest,6,0.07855833,0.08471229,0.2974722,0.013333333333333334
B.1.1.7,0.9991906110886281,0.9905717151454363,0.9948624962224237,4985,KMNV,Random Forest,4985,0.008327866,0.008325402,0.03104075,0.005087261785356068
B.1.351,0.9181159420289855,0.9701378254211332,0.9434102755026061,1306,KMNV,Random Forest,1306,0.028872792,0.02914927,0.107051425,0.015532159264931088
B.1.427,0.982367758186398,0.9263657957244655,0.9535452322738386,421,KMNV,Random Forest,421,0.04155178,0.036977526,0.13179177,0.04396674584323041
B.1.429,0.973655323819978,0.9527389903329753,0.9630836047774158,931,KMNV,Random Forest,931,0.028373398,0.02756201,0.10106766,0.032250268528464014
B.1.525,0.9546769527483124,0.9850746268656716,0.9696376101860921,1005,KMNV,Random Forest,1005,0.024707993,0.024170587,0.08885298,0.011208955223880598
B.1.526,0.9805194805194806,0.9273285568065507,0.9531825355076275,977,KMNV,Random Forest,977,0.02699147,0.026340146,0.09627328,0.041054247697031726
B.1.617.1,0.8922374429223744,0.9750499001996008,0.9318073438245112,1002,KMNV,Random Forest,1002,0.029451478,0.027186904,0.100511804,0.026187624750499
B.1.617.2,0.9563560129597866,0.9579992363497518,0.9571769194086791,5238,KMNV,Random Forest,5238,0.024694774,0.024346199,0.09272091,0.015939289805269187
B.1.617.3,1.0,0.7735849056603774,0.8723404255319149,53,KMNV,Random Forest,53,0.07337704,0.066098586,0.2179371,0.09226415094339623
B.1.621,0.9315931593159316,0.9663865546218487,0.9486709440879927,1071,KMNV,Random Forest,1071,0.029302008,0.028806131,0.10531995,0.02603641456582633
BA.1,0.9885535900104059,0.9958071278825996,0.9921671018276762,954,KMNV,Random Forest,954,0.011450996,0.01145337,0.042589355,0.0020440251572327044
C.37,0.9770700636942675,0.9659949622166247,0.9715009499683344,794,KMNV,Random Forest,794,0.026617719,0.023892414,0.08883731,0.015270780856423173
P.1,0.9706994328922496,0.9790276453765491,0.9748457522543901,1049,KMNV,Random Forest,1049,0.021120988,0.019633807,0.07292461,0.010395614871306006
P.2,0.9770253929866989,0.9688249400479616,0.9729078868151716,834,KMNV,Random Forest,834,0.02444976,0.024487708,0.08689208,0.021900479616306954
P.3,0.9636363636363636,0.8548387096774194,0.905982905982906,62,KMNV,Random Forest,62,0.055841397,0.055011217,0.19117875,0.08838709677419355
A.23.1,0.823045267489712,0.7692307692307693,0.7952286282306164,260,NV,Random Forest,260,0.051008783,0.057096172,0.20481089,0.10332692307692308
AY.4,0.8227581741663968,0.8648970563212524,0.8433015346329324,5877,NV,Random Forest,5877,0.04586924,0.048504416,0.18384811,0.0522605070614259
AY.4.2,0.5105740181268882,0.5184049079754601,0.5144596651445966,326,NV,Random Forest,326,0.08496851,0.091255136,0.3104215,0.15038343558282208
B.1.1.318,0.8,0.6666666666666666,0.7272727272727273,6,NV,Random Forest,6,0.16696668,0.14844252,0.48080555,0.28833333333333333
B.1.1.7,0.9726948120142828,0.928986960882648,0.9503386004514672,4985,NV,Random Forest,4985,0.020897754,0.022269884,0.084298536,0.02996690070210632
B.1.351,0.7202749140893471,0.8024502297090352,0.7591452372328866,1306,NV,Random Forest,1306,0.051130075,0.056358628,0.20562638,0.09251531393568148
B.1.427,0.7323943661971831,0.7410926365795725,0.7367178276269185,421,NV,Random Forest,421,0.066597305,0.069254205,0.25342676,0.12152019002375297
B.1.429,0.7275541795665634,0.757250268528464,0.7421052631578947,931,NV,Random Forest,931,0.05905709,0.063348845,0.2326289,0.10886143931256713
B.1.525,0.7800369685767098,0.8398009950248756,0.8088164829899377,1005,NV,Random Forest,1005,0.049861062,0.05367472,0.19529958,0.08499004975124379
B.1.526,0.7719298245614035,0.7656090071647902,0.7687564234326825,977,NV,Random Forest,977,0.054636266,0.05762434,0.21064968,0.09142272262026611
B.1.617.1,0.6523848019401779,0.8053892215568862,0.7208575256811076,1002,NV,Random Forest,1002,0.05344629,0.055465832,0.20510636,0.09711077844311376
B.1.617.2,0.8484914260907315,0.7462772050400917,0.7941086846114779,5238,NV,Random Forest,5238,0.044999056,0.048463244,0.18379958,0.07678885070637649
B.1.617.3,0.76,0.3584905660377358,0.48717948717948717,53,NV,Random Forest,53,0.09239245,0.08497647,0.3091698,0.27283018867924524
B.1.621,0.7935299714557564,0.7787114845938375,0.7860508953817154,1071,NV,Random Forest,1071,0.053620167,0.058412578,0.21462643,0.10021475256769374
BA.1,0.8857142857142857,0.9423480083857443,0.9131538852209243,954,NV,Random Forest,954,0.029138226,0.031546682,0.116378486,0.03340146750524109
C.37,0.8215613382899628,0.8350125944584383,0.8282323547782636,794,NV,Random Forest,794,0.046107303,0.04816651,0.17827572,0.07257556675062972
P.1,0.8438628158844765,0.8913250714966635,0.8669448307834956,1049,NV,Random Forest,1049,0.042218573,0.044762112,0.16656578,0.05740228789323165
P.2,0.8500604594921403,0.842925659472422,0.8464780252859723,834,NV,Random Forest,834,0.048220225,0.050664466,0.18308282,0.0705695443645084
P.3,0.6,0.532258064516129,0.5641025641025641,62,NV,Random Forest,62,0.082185484,0.087628275,0.31210217,0.27733870967741936
