taxon,split
hCoV-19/Wales/PHWC-4D8AA5/2021,development
hCoV-19/Scotland/QEUH-1D9F516/2021,development
hCoV-19/England/NEWC-20273F5/2021,development
hCoV-19/SouthAfrica/NICD-N8503/2021,development
hCoV-19/England/QEUH-197385F/2021,development
hCoV-19/India/RJ-IGIB-1031828/2021,development
hCoV-19/England/NEWC-201B637/2021,development
hCoV-19/England/PLYM-18CA007/2021,development
hCoV-19/USA/ND-NDDH-01314/2021,development
hCoV-19/Ireland/D-NVRL-e84IRL38564/2021,development
hCoV-19/Netherlands/NH-AUMC-015470/2021,development
hCoV-19/Denmark/DCGC-147261/2021,development
hCoV-19/France/IDF-IPP07841/2021,development
hCoV-19/England/CAMC-139CD66/2021,development
hCoV-19/England/QEUH-1E5C8DF/2021,development
hCoV-19/Belgium/UZA-UA-CV2129869517/2021,development
hCoV-19/Brazil/SP-SJRP17/2021,development
hCoV-19/Wales/ALDP-125D0B4/2021,development
hCoV-19/England/PHEC-R304R4A3/2021,development
hCoV-19/USA/WV-WVU-WV118797/2021,development
hCoV-19/Denmark/DCGC-81539/2021,development
hCoV-19/England/QEUH-1976DF3/2021,development
hCoV-19/England/OXON-F42698/2020,development
hCoV-19/USA/MA-CDCBI-CRSP_BFF2HZQ45YXNFYEA/2021,development
hCoV-19/England/NEWC-20D2CD0/2021,development
hCoV-19/USA/NJ-PHEL-V21019235/2021,development
hCoV-19/USA/CO-CDC-ASC210003095/2021,development
hCoV-19/USA/TX-CDC-QDX25284136/2021,development
hCoV-19/England/PLYM-20C0A35/2021,development
hCoV-19/England/ALDP-1D1869A/2021,development
hCoV-19/Wales/PHWC-4C317B/2021,development
hCoV-19/USA/WV-CDC-LC0060092/2021,development
hCoV-19/England/NORW-22A9E5/2021,development
hCoV-19/England/ALDP-1F80464/2021,development
hCoV-19/India/MH-ICMR-NIV-INSAGOG-GSEQ-2267/2021,development
hCoV-19/Mexico/YUC-InDRE_FB17588_S3633/2021,development
hCoV-19/England/HSLL-18B3ECB/2021,development
hCoV-19/Chile/AP-116685/2021,development
hCoV-19/Chile/CO-100490/2021,development
hCoV-19/Scotland/QEUH-1EE978F/2021,development
hCoV-19/France/ARA-CFD700000143307/2021,development
hCoV-19/England/NEWC-1D0DFD9/2021,development
hCoV-19/SouthAfrica/NICD-N8698/2021,development
hCoV-19/USA/MT-CDC-2-4282740/2021,development
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-19058/2021,development
hCoV-19/England/PLYM-167E58D/2021,development
hCoV-19/Italy/CAM-TIGEM-6456/2021,development
hCoV-19/Ireland/D-NVRL-e86IRL87798/2021,development
hCoV-19/England/ALDP-202A94B/2021,development
hCoV-19/England/ALDP-1DC0145/2021,development
hCoV-19/Australia/NSW-ICPMR-959/2021,development
hCoV-19/USA/NY-PRL-2021_03_02_00G06/2021,development
hCoV-19/SouthAfrica/NICD-N21795/2021,development
hCoV-19/England/HSLL-18B401F/2021,development
hCoV-19/Brazil/RJ-FIOCRUZ-4192/2021,development
hCoV-19/Peru/TAC-INS-1153/2021,development
hCoV-19/Uruguay/CHY-M421/2021,development
hCoV-19/England/MILK-1666F5D/2021,development
hCoV-19/Italy/EMR_AUSLRomagna_C080-21-32/2021,development
