feature_representation,model,variant_label,class_support,class_specific_switching_rate,class_specific_agreement_rate
KMC,Random Forest,A.23.1,260,0.04619230769230769,0.9538076923076924
KMC,Random Forest,AY.4,5877,0.017981963586864047,0.9820180364131359
KMC,Random Forest,AY.4.2,326,0.030230061349693253,0.9697699386503067
KMC,Random Forest,B.1.1.318,6,0.05416666666666667,0.9458333333333333
KMC,Random Forest,B.1.1.7,4985,0.007471414242728186,0.9925285857572718
KMC,Random Forest,B.1.351,1306,0.029620980091883617,0.9703790199081164
KMC,Random Forest,B.1.427,421,0.051104513064133016,0.948895486935867
KMC,Random Forest,B.1.429,931,0.039189044038668096,0.9608109559613319
KMC,Random Forest,B.1.525,1005,0.01635820895522388,0.9836417910447761
KMC,Random Forest,B.1.526,977,0.04857215967246673,0.9514278403275332
KMC,Random Forest,B.1.617.1,1002,0.02847305389221557,0.9715269461077845
KMC,Random Forest,B.1.617.2,5238,0.023737113402061853,0.9762628865979381
KMC,Random Forest,B.1.617.3,53,0.10047169811320754,0.8995283018867924
KMC,Random Forest,B.1.621,1071,0.03324463118580765,0.9667553688141923
KMC,Random Forest,BA.1,954,0.0011477987421383647,0.9988522012578617
KMC,Random Forest,C.37,794,0.021719143576826194,0.9782808564231738
KMC,Random Forest,P.1,1049,0.024204003813155385,0.9757959961868446
KMC,Random Forest,P.2,834,0.045353717026378894,0.9546462829736211
KMC,Random Forest,P.3,62,0.06556451612903225,0.9344354838709678
KMNV,Random Forest,A.23.1,260,0.018423076923076924,0.9815769230769231
KMNV,Random Forest,AY.4,5877,0.012454483580057851,0.9875455164199421
KMNV,Random Forest,AY.4.2,326,0.01838957055214724,0.9816104294478527
KMNV,Random Forest,B.1.1.318,6,0.013333333333333334,0.9866666666666667
KMNV,Random Forest,B.1.1.7,4985,0.005087261785356068,0.9949127382146439
KMNV,Random Forest,B.1.351,1306,0.015532159264931088,0.9844678407350689
KMNV,Random Forest,B.1.427,421,0.0439667458432304,0.9560332541567697
KMNV,Random Forest,B.1.429,931,0.03225026852846402,0.967749731471536
KMNV,Random Forest,B.1.525,1005,0.011208955223880598,0.9887910447761195
KMNV,Random Forest,B.1.526,977,0.041054247697031726,0.9589457523029683
KMNV,Random Forest,B.1.617.1,1002,0.026187624750499003,0.973812375249501
KMNV,Random Forest,B.1.617.2,5238,0.015939289805269187,0.9840607101947308
KMNV,Random Forest,B.1.617.3,53,0.09226415094339624,0.9077358490566038
KMNV,Random Forest,B.1.621,1071,0.026036414565826328,0.9739635854341737
KMNV,Random Forest,BA.1,954,0.0020440251572327044,0.9979559748427673
KMNV,Random Forest,C.37,794,0.015270780856423173,0.9847292191435768
KMNV,Random Forest,P.1,1049,0.010395614871306007,0.989604385128694
KMNV,Random Forest,P.2,834,0.021900479616306954,0.9780995203836931
KMNV,Random Forest,P.3,62,0.08838709677419355,0.9116129032258065
NV,Random Forest,A.23.1,260,0.10332692307692307,0.896673076923077
NV,Random Forest,AY.4,5877,0.0522605070614259,0.9477394929385741
NV,Random Forest,AY.4.2,326,0.15038343558282208,0.8496165644171779
NV,Random Forest,B.1.1.318,6,0.28833333333333333,0.7116666666666667
NV,Random Forest,B.1.1.7,4985,0.02996690070210632,0.9700330992978937
NV,Random Forest,B.1.351,1306,0.09251531393568146,0.9074846860643185
NV,Random Forest,B.1.427,421,0.12152019002375296,0.8784798099762471
NV,Random Forest,B.1.429,931,0.10886143931256713,0.8911385606874329
NV,Random Forest,B.1.525,1005,0.08499004975124377,0.9150099502487562
NV,Random Forest,B.1.526,977,0.09142272262026613,0.9085772773797338
NV,Random Forest,B.1.617.1,1002,0.09711077844311378,0.9028892215568862
NV,Random Forest,B.1.617.2,5238,0.07678885070637649,0.9232111492936235
NV,Random Forest,B.1.617.3,53,0.2728301886792453,0.7271698113207548
NV,Random Forest,B.1.621,1071,0.10021475256769374,0.8997852474323063
NV,Random Forest,BA.1,954,0.03340146750524109,0.9665985324947589
NV,Random Forest,C.37,794,0.07257556675062972,0.9274244332493703
NV,Random Forest,P.1,1049,0.057402287893231645,0.9425977121067683
NV,Random Forest,P.2,834,0.0705695443645084,0.9294304556354916
NV,Random Forest,P.3,62,0.2773387096774193,0.7226612903225806
