taxon,true_label,reference_predicted_label,reference_predicted_probability,mean_absolute_probability_change_reference_class,probability_sd_reference_class,probability_interval_width_reference_class,classification_switching_rate,prediction_agreement_rate
hCoV-19/England/MILK-1CFB115/2021,AY.4,AY.4,0.9166667,0.019733315,0.014490408,0.056666613,0.0,1.0
hCoV-19/England/MILK-15635F5/2021,B.1.351,B.1.351,0.9866667,0.015266671,0.016888663,0.05675,0.0,1.0
hCoV-19/Denmark/DCGC-169121/2021,B.1.617.2,B.1.617.2,0.49666667,0.0395,0.033695765,0.13025,0.375,0.625
hCoV-19/England/PLYM-1F7F2B9/2021,AY.4,AY.4,0.87,0.02145,0.02098168,0.07683331,0.0,1.0
hCoV-19/USA/OR-CDC-ASC210062221/2021,B.1.429,B.1.427,0.47666666,0.056183323,0.033022348,0.12341666,0.015,0.985
hCoV-19/Scotland/QEUH-1DC1A3A/2021,B.1.617.2,B.1.617.2,0.9033333,0.03486666,0.037441496,0.14016664,0.0,1.0
hCoV-19/Germany/BW-RKI-I-037738/2021,B.1.1.7,B.1.1.7,0.8333333,0.024399996,0.029875651,0.11683333,0.0,1.0
hCoV-19/India/WB-1931300256245/2021,B.1.617.1,B.1.617.1,0.66333336,0.025783338,0.03322345,0.13341671,0.0,1.0
hCoV-19/England/MILK-2022020/2021,AY.4,AY.4,1.0,0.0030666636,0.0034214975,0.013333321,0.0,1.0
hCoV-19/England/MILK-1314FD9/2021,B.1.1.7,B.1.1.7,0.9866667,0.009883331,0.008120194,0.030083358,0.0,1.0
hCoV-19/England/ALDP-273425B/2021,AY.4.2,AY.4.2,0.99333334,0.008783325,0.007554076,0.026666641,0.0,1.0
hCoV-19/Sweden/21-53277/2021,B.1.351,B.1.351,0.6933333,0.026333326,0.029611766,0.103583336,0.0,1.0
hCoV-19/India/MH-IGIB-NIV-INSACOG-GSEQ-1827/2021,B.1.617.1,B.1.617.1,0.9633333,0.009783355,0.01092449,0.04008335,0.0,1.0
hCoV-19/Denmark/DCGC-126769/2021,B.1.617.2,B.1.617.2,0.95,0.012966659,0.01635301,0.07008338,0.0,1.0
hCoV-19/Denmark/DCGC-182273/2021,B.1.617.2,B.1.617.2,0.72333336,0.039733313,0.030603195,0.123333335,0.0,1.0
