taxon,true_label,reference_predicted_label,reference_predicted_probability,mean_absolute_probability_change_reference_class,probability_sd_reference_class,probability_interval_width_reference_class,classification_switching_rate,prediction_agreement_rate
hCoV-19/England/MILK-1CFB115/2021,AY.4,AY.4,0.7033333,0.048033338,0.04982052,0.20024997,0.0,1.0
hCoV-19/England/MILK-15635F5/2021,B.1.351,B.1.351,0.8333333,0.04335,0.05444154,0.1970833,0.0,1.0
hCoV-19/Denmark/DCGC-169121/2021,B.1.617.2,B.1.617.2,0.7266667,0.065600015,0.04928101,0.20333332,0.0,1.0
hCoV-19/England/PLYM-1F7F2B9/2021,AY.4,AY.4,0.6433333,0.050700016,0.042847846,0.16033328,0.0,1.0
hCoV-19/USA/OR-CDC-ASC210062221/2021,B.1.429,B.1.427,0.62333333,0.11608334,0.08913186,0.331,0.045,0.955
hCoV-19/Scotland/QEUH-1DC1A3A/2021,B.1.617.2,AY.4,0.5233333,0.12450001,0.14660613,0.5303333,0.35,0.65
hCoV-19/Germany/BW-RKI-I-037738/2021,B.1.1.7,B.1.1.7,0.29333332,0.040583335,0.04989687,0.18716669,0.165,0.835
hCoV-19/India/WB-1931300256245/2021,B.1.617.1,B.1.617.1,0.6533333,0.041316662,0.050077092,0.19408333,0.0,1.0
hCoV-19/England/MILK-2022020/2021,AY.4,AY.4,0.97333336,0.010933343,0.013809789,0.05341667,0.0,1.0
hCoV-19/England/MILK-1314FD9/2021,B.1.1.7,B.1.1.7,0.87666667,0.032683335,0.034540925,0.13333333,0.0,1.0
hCoV-19/England/ALDP-273425B/2021,AY.4.2,AY.4,0.8,0.058233324,0.02899617,0.11016667,0.0,1.0
hCoV-19/Sweden/21-53277/2021,B.1.351,B.1.351,0.24,0.044849996,0.03661569,0.13691668,0.125,0.875
hCoV-19/India/MH-IGIB-NIV-INSACOG-GSEQ-1827/2021,B.1.617.1,B.1.617.1,0.7,0.08146665,0.0527209,0.19333339,0.0,1.0
hCoV-19/Denmark/DCGC-126769/2021,B.1.617.2,B.1.617.2,0.59,0.05793333,0.06543357,0.25033334,0.065,0.935
hCoV-19/Denmark/DCGC-182273/2021,B.1.617.2,B.1.617.2,0.78333336,0.04073335,0.04832886,0.18333334,0.0,1.0
hCoV-19/SouthAfrica/CERI-KRISP-K033035/2021,BA.1,BA.1,0.58,0.057116657,0.054846834,0.20675,0.0,1.0
hCoV-19/England/NEWC-20CA260/2021,AY.4,AY.4,0.89,0.029466655,0.025359107,0.09008336,0.0,1.0
hCoV-19/England/MILK-1E37C56/2021,AY.4,AY.4,0.54,0.038066663,0.046675667,0.18341666,0.065,0.935
hCoV-19/England/MILK-18C93B4/2021,AY.4,AY.4,0.94,0.019316662,0.020228356,0.07341665,0.0,1.0
hCoV-19/England/ALDP-20559DE/2021,AY.4,AY.4,0.38333333,0.071533345,0.062312398,0.23341668,0.165,0.835
hCoV-19/England/MILK-166710B/2021,B.1.617.2,B.1.617.2,0.91333336,0.032700002,0.040569216,0.15016663,0.0,1.0
